"","AUC","Sensitivity","specificity","PPV","NPV","F1_Score_pos","F1_Score_neg","Accuracy","KAPPA","Model"
"451",0.89756206910145,0.819047619047619,0.779751332149201,0.581081081081081,0.920335429769392,0.679841897233202,0.844230769230769,0.790426908150065,0.530668845430218,"RF25"
"452",0.889132156485113,0.802884615384615,0.815929203539823,0.616236162361624,0.918326693227092,0.697286012526096,0.864104967197751,0.8124191461837,0.564770843121799,"RF25"
"453",0.898133542744931,0.8,0.79746835443038,0.611111111111111,0.909278350515464,0.692913385826772,0.84971098265896,0.798188874514877,0.546600291768811,"RF25"
"454",0.847142047753602,0.730941704035874,0.796363636363636,0.592727272727273,0.879518072289157,0.654618473895582,0.83587786259542,0.777490297542044,0.49312248383555,"RF25"
"455",0.909367785695296,0.793248945147679,0.850746268656716,0.701492537313433,0.902970297029703,0.744554455445544,0.876080691642651,0.833117723156533,0.621327368768821,"RF25"
"456",0.878828465790505,0.782608695652174,0.800353356890459,0.589090909090909,0.909638554216867,0.672199170124481,0.851503759398496,0.795601552393273,0.52795900068023,"RF25"
"457",0.891848983242909,0.796875,0.805507745266781,0.575187969924812,0.923076923076923,0.668122270742358,0.860294117647059,0.803363518758085,0.533542419310016,"RF25"
"458",0.865115579763889,0.779816513761468,0.792792792792793,0.596491228070175,0.901639344262295,0.675944333996024,0.843720038350911,0.789133247089263,0.523739506121508,"RF25"
"459",0.884912539550045,0.774336283185841,0.80073126142596,0.616197183098592,0.895705521472393,0.686274509803922,0.845559845559846,0.793014230271669,0.534796247677367,"RF25"
"460",0.878015400464507,0.780172413793103,0.809611829944547,0.637323943661972,0.895705521472393,0.701550387596899,0.850485436893204,0.800776196636481,0.554303386099172,"RF25"
"461",0.879429913376326,0.781990521327014,0.793594306049822,0.587188612099644,0.90650406504065,0.670731707317073,0.846299810246679,0.790426908150065,0.521552415811473,"RF25"
"462",0.886951475386801,0.762331838565022,0.829090909090909,0.643939393939394,0.895874263261297,0.698151950718686,0.861189801699717,0.809831824062096,0.560773384562459,"RF25"
"463",0.871192566334593,0.742222222222222,0.83029197080292,0.642307692307692,0.886939571150097,0.688659793814433,0.857681432610745,0.804657179818887,0.547418623136426,"RF25"
